"taskId","smiles","Property","Value","Tool"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","cl.plasma",6.12231438061969,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","BCF",1.94251584061681,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","IGC50",3.97274421990419,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","LC50FM",4.81893737458734,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","LC50DM",5.22200463841539,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","f20",0.00233685970306396,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","f30",0.086142361164093,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","f50",0.70440399646759,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","hia",1.19209289550781e-07,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","MRP1",0.998189389705658,"ADMETlab"
